Date, Open, High, Low, Close, Volume
04/30/21,8.96,9.13,8.76,8.83,6135811
04/29/21,9.45,9.45,8.8801,9.06,6869972
04/28/21,9.23,9.67,9.1216,9.30,12299860
04/27/21,9.16,9.6196,8.87,9.29,21110740
04/26/21,8.86,9.19,8.84,9.09,8168123
04/23/21,8.66,8.88,8.59,8.85,5433527
04/22/21,8.69,8.97,8.58,8.64,8636275
04/21/21,8.09,8.67,8.04,8.66,9263253
04/20/21,8.59,8.69,8.06,8.21,12637640
04/19/21,8.65,8.79,8.46,8.62,6377676
04/16/21,8.69,8.7601,8.50,8.70,7577460
04/15/21,9.10,9.14,8.65,8.77,8438235
04/14/21,9.05,9.37,8.99,9.00,7711641
04/13/21,9.07,9.215,8.90,9.10,6896020
04/12/21,9.09,9.28,8.96,9.03,6501810
04/09/21,9.32,9.42,9.10,9.13,6685233
04/08/21,8.99,9.59,8.95,9.44,11406800
04/07/21,9.45,9.51,8.91,8.91,16106100
04/06/21,9.13,9.28,8.941,8.99,9807269
04/05/21,8.75,9.34,8.62,9.30,18459990
04/01/21,8.59,8.89,8.50,8.60,14709860
03/31/21,8.61,8.73,8.36,8.43,32865172
03/30/21,9.08,9.415,8.88,9.34,17569609
03/29/21,9.56,9.67,9.1401,9.20,13538020
03/26/21,10.05,10.05,9.29,9.63,13197190
03/25/21,9.31,9.97,9.2536,9.88,14363930
03/24/21,10.21,10.22,9.545,9.58,12636060
03/23/21,10.69,10.69,10.02,10.07,12245510
03/22/21,11.00,11.34,10.66,10.71,7903615
03/19/21,10.83,11.17,10.69,10.95,10519100
03/18/21,11.39,11.47,10.66,10.76,11438040
03/17/21,11.33,11.66,11.15,11.60,9710506
03/16/21,11.87,12.20,11.2683,11.46,19812369
03/15/21,12.09,12.515,11.55,11.68,25404930
03/12/21,10.47,11.93,10.36,11.85,25863150
03/11/21,10.55,10.795,10.3311,10.70,12306190
03/10/21,11.01,11.01,10.15,10.34,23939109
03/09/21,10.19,10.68,10.03,10.45,21437820
03/08/21,9.39,10.02,9.1899,9.75,16479480
03/05/21,9.80,9.85,8.82,9.45,23723400
03/04/21,10.01,10.37,9.59,9.84,26124109
03/03/21,10.48,10.7186,10.05,10.15,14866310
03/02/21,10.90,10.94,10.42,10.50,12395310
03/01/21,10.29,11.25,10.29,10.91,24897320
02/26/21,10.48,10.82,10.01,10.05,22542369
02/25/21,12.14,12.15,10.35,10.58,46082781
02/24/21,10.29,11.72,10.1815,11.32,40660660
02/23/21,10.29,10.46,9.63,10.40,27150561
02/22/21,10.61,11.56,10.57,10.68,21227471
02/19/21,10.97,11.19,10.62,10.90,20132689
02/18/21,10.83,11.28,10.75,10.94,19052590
02/17/21,11.80,11.82,11.01,11.32,26271330
02/16/21,13.12,13.16,12.05,12.21,25480240
02/12/21,12.29,13.285,12.12,13.04,18222510
02/11/21,12.84,13.09,12.132,12.46,22895480
02/10/21,13.07,13.49,12.75,13.10,27277930
02/09/21,13.61,13.6501,13.01,13.43,23252471
02/08/21,13.78,14.35,13.30,13.76,37068879
02/05/21,11.92,13.67,11.88,13.23,44183090
02/04/21,12.12,12.425,11.53,12.15,33668020
02/03/21,11.72,12.47,11.08,12.00,50001312
02/02/21,13.47,13.75,11.08,11.55,80520898
02/01/21,14.64,15.54,12.73,14.63,78506039
01/29/21,17.98,18.12,13.69,14.10,94049148
01/28/21,19.47,22.50,13.40,14.65,194906594
01/27/21,20.25,28.77,19.81,25.10,372222594
01/26/21,19.09,19.51,17.19,18.92,242740797
01/25/21,19.55,20.83,15.74,18.03,363829094
01/22/21,12.37,14.28,12.17,14.04,120473602
01/21/21,12.62,12.945,12.01,12.85,63464953
01/20/21,13.23,13.64,12.38,12.79,130140703
01/19/21,10.85,12.39,10.58,12.35,112483203
01/15/21,10.68,11.56,9.40,9.84,153854703
01/14/21,7.51,9.33,7.47,9.11,65231340
01/13/21,7.65,7.66,7.40,7.44,8345519
01/12/21,7.69,7.71,7.48,7.63,9416014
01/11/21,7.64,7.79,7.32,7.65,15749560
01/08/21,7.22,7.6396,7.10,7.56,23039279
01/07/21,6.75,7.115,6.72,7.06,13062760
01/06/21,6.71,6.91,6.63,6.71,11022290
01/05/21,6.62,6.80,6.555,6.77,9108900
01/04/21,6.70,6.8199,6.515,6.58,11139230
12/31/20,6.68,6.80,6.63,6.63,7530565
12/30/20,6.79,6.81,6.60,6.67,9434913
12/29/20,6.98,7.00,6.675,6.77,11284190
12/28/20,7.10,7.13,6.85,6.88,9820108
12/24/20,7.12,7.24,7.05,7.06,6088342
12/23/20,7.30,7.33,7.08,7.09,9115529
12/22/20,7.18,7.44,7.05,7.19,16822910
12/21/20,6.84,7.20,6.73,7.11,17988340
12/18/20,7.83,7.83,6.88,6.95,49470141
12/17/20,8.30,8.335,8.03,8.26,17717859
12/16/20,8.35,8.35,8.17,8.24,8043156
12/15/20,8.36,8.39,8.085,8.30,9819740
12/14/20,8.28,8.57,8.165,8.25,14675510
12/11/20,8.30,8.33,7.96,8.16,11643150
12/10/20,8.10,8.40,8.08,8.37,10923180
12/09/20,8.55,8.65,8.06,8.31,19628029
12/08/20,8.26,8.72,8.24,8.52,26885141
12/07/20,8.74,9.00,8.12,8.25,44629078
12/04/20,7.39,8.55,7.39,8.52,69814484
12/03/20,7.44,7.605,7.20,7.46,40307219
12/02/20,7.68,8.41,7.09,7.45,150129797
12/01/20,8.36,9.69,6.92,7.00,330186594
11/30/20,6.15,6.16,5.82,5.87,6862861
11/27/20,5.94,6.20,5.895,6.15,3742511
11/25/20,5.70,5.94,5.675,5.91,4992235
11/24/20,5.74,5.77,5.635,5.70,5144868
11/23/20,5.81,5.835,5.59,5.66,4999182
11/20/20,5.36,5.77,5.33,5.76,6587242
