Date, Open, High, Low, Close, Volume
04/30/21,2.41,2.43,2.36,2.385,1052834
04/29/21,2.39,2.43,2.33,2.38,2583073
04/28/21,2.39,2.40,2.38,2.39,1123575
04/27/21,2.43,2.44,2.38,2.40,1561577
04/26/21,2.42,2.46,2.38,2.445,2854621
04/23/21,2.40,2.45,2.36,2.43,3294323
04/22/21,2.40,2.44,2.36,2.42,2895230
04/21/21,2.27,2.41,2.27,2.41,2651082
04/20/21,2.36,2.375,2.23,2.29,3390520
04/19/21,2.36,2.44,2.34,2.37,3663793
04/16/21,2.28,2.44,2.20,2.39,4421329
04/15/21,2.26,2.30,2.24,2.30,3343482
04/14/21,2.15,2.29,2.13,2.21,2516926
04/13/21,2.18,2.20,2.10,2.17,3380301
04/12/21,2.30,2.34,2.17,2.21,5449023
04/09/21,2.42,2.49,2.26,2.33,8738367
04/08/21,2.20,2.46,2.20,2.41,9678703
04/07/21,2.10,2.25,2.08,2.22,8479622
04/06/21,2.08,2.10,2.04,2.10,2011205
04/05/21,2.05,2.10,2.04,2.08,3184425
04/01/21,2.08,2.10,2.04,2.04,2872589
03/31/21,1.97,2.10,1.97,2.07,6532027
03/30/21,1.95,1.985,1.93,1.97,3026311
03/29/21,1.89,1.96,1.89,1.95,2858367
03/26/21,1.90,1.92,1.89,1.90,1709521
03/25/21,1.90,1.92,1.89,1.90,1404671
03/24/21,1.89,1.92,1.88,1.90,1946420
03/23/21,1.89,1.94,1.89,1.8935,2575816
03/22/21,1.89,1.91,1.88,1.91,3074982
03/19/21,1.89,1.92,1.87,1.895,774710
03/18/21,1.88,1.93,1.87,1.90,3934277
03/17/21,1.89,1.90,1.87,1.88,757879
03/16/21,1.88,1.90,1.86,1.90,1214357
03/15/21,1.91,1.93,1.88,1.89,3619060
03/12/21,1.90,1.94,1.894,1.92,1936706
03/11/21,1.86,1.91,1.85,1.9045,2575855
03/10/21,1.86,1.87,1.84,1.85,2284650
03/09/21,1.87,1.90,1.85,1.86,2339412
03/08/21,1.87,1.91,1.83,1.85,4418546
03/05/21,1.84,1.95,1.80,1.83,4728914
03/04/21,1.83,1.88,1.80,1.84,2828334
03/03/21,1.81,1.85,1.80,1.84,1457732
03/02/21,1.86,1.87,1.80,1.81,1527082
03/01/21,1.85,1.94,1.82,1.85,4266217
02/26/21,1.75,1.85,1.75,1.84,3790789
02/25/21,1.78,1.83,1.75,1.75,3150511
02/24/21,1.82,1.83,1.78,1.78,3604269
02/23/21,1.84,1.85,1.80,1.83,3478757
02/22/21,1.87,1.87,1.85,1.85,1973243
02/19/21,1.87,1.88,1.85,1.88,1834880
02/18/21,1.88,1.885,1.85,1.86,2114234
02/17/21,1.88,1.90,1.86,1.88,2066821
02/16/21,1.89,1.92,1.88,1.89,2373046
02/12/21,1.91,1.93,1.88,1.89,3148065
02/11/21,1.93,1.93,1.89,1.91,2377338
02/10/21,1.94,1.94,1.90,1.91,1944268
02/09/21,1.92,1.95,1.89,1.935,2610879
02/08/21,1.93,1.96,1.89,1.91,3734235
02/05/21,1.91,1.94,1.90,1.93,1891824
02/04/21,1.90,1.94,1.90,1.9145,2889244
02/03/21,1.98,1.98,1.93,1.94,2216519
02/02/21,1.98,1.98,1.92,1.97,3059782
02/01/21,1.95,2.03,1.93,1.97,2153866
01/29/21,2.05,2.05,1.94,1.95,4640735
01/28/21,2.17,2.24,2.00,2.02,9681486
01/27/21,1.93,2.18,1.90,2.11,38481809
01/26/21,1.92,1.98,1.88,1.93,6711181
01/25/21,1.76,1.92,1.75,1.87,8231260
01/22/21,1.83,1.85,1.75,1.76,7777719
01/21/21,1.87,1.89,1.82,1.83,4247473
01/20/21,1.93,1.95,1.84,1.87,4884884
01/19/21,1.88,1.95,1.77,1.93,18374570
01/15/21,1.95,1.97,1.85,1.87,26206961
01/14/21,2.03,2.09,2.01,2.03,3642962
01/13/21,2.09,2.10,1.94,2.03,5652902
01/12/21,2.11,2.15,1.95,2.06,5242889
01/11/21,1.95,2.14,1.95,2.065,7126712
01/08/21,2.00,2.025,1.90,1.96,8896214
01/07/21,2.16,2.18,1.99,2.01,15044780
01/06/21,2.32,2.33,2.16,2.20,7087143
01/05/21,2.40,2.45,2.28,2.32,4565204
01/04/21,2.39,2.44,2.31,2.39,4585590
12/31/20,2.35,2.41,2.30,2.39,4208935
12/30/20,2.34,2.43,2.33,2.36,6164954
12/29/20,2.26,2.39,2.26,2.35,4800446
12/28/20,2.25,2.39,2.25,2.27,4251233
12/24/20,2.40,2.403,2.30,2.30,3201239
12/23/20,2.42,2.46,2.40,2.40,2566889
12/22/20,2.48,2.50,2.41,2.42,3753090
12/21/20,2.60,2.60,2.43,2.49,4114482
12/18/20,2.41,2.6465,2.40,2.59,7242477
12/17/20,2.41,2.51,2.35,2.40,6870663
12/16/20,2.29,2.41,2.12,2.39,13069510
12/15/20,2.43,2.47,2.06,2.28,33953379
12/14/20,2.81,2.88,2.70,2.74,5738215
12/11/20,2.79,2.80,2.69,2.79,4185723
12/10/20,2.84,2.85,2.655,2.78,5762507
12/09/20,2.72,3.25,2.71,2.83,22085850
12/08/20,2.77,2.78,2.65,2.69,2910447
12/07/20,2.75,2.85,2.70,2.75,4975511
12/04/20,2.74,2.88,2.55,2.75,6186653
12/03/20,2.51,2.76,2.33,2.72,8658333
12/02/20,2.71,2.72,2.48,2.52,8277678
12/01/20,3.03,3.24,2.60,2.72,21271660
11/30/20,2.74,3.00,2.68,3.00,19132770
11/27/20,2.57,2.67,2.55,2.67,2964699
11/25/20,2.45,2.59,2.45,2.56,6827021
11/24/20,2.53,2.66,2.38,2.45,8236127
11/23/20,2.43,2.80,2.15,2.495,27241740
11/20/20,1.99,2.41,1.95,2.35,24593619
11/19/20,1.92,2.02,1.85,1.87,7035379
11/18/20,1.86,1.90,1.83,1.90,3196774
11/17/20,1.82,1.865,1.82,1.86,2118297
11/16/20,1.87,1.88,1.82,1.84,4314439
11/13/20,1.87,1.885,1.85,1.88,1825208
11/12/20,1.87,1.91,1.86,1.88,1458380
11/11/20,1.90,1.93,1.87,1.89,7248063
11/10/20,1.92,1.92,1.87,1.88,2186932
11/09/20,1.86,1.96,1.86,1.91,4777852
11/06/20,1.85,1.87,1.80,1.86,3994741
11/05/20,1.88,1.88,1.81,1.85,6067359
11/04/20,2.05,2.09,1.75,1.90,8155780
11/03/20,1.98,2.05,1.91,2.03,5781591
11/02/20,1.87,1.92,1.86,1.87,1849386
10/30/20,1.93,1.93,1.87,1.88,2061541
10/29/20,1.92,1.95,1.91,1.93,1276691
10/28/20,1.97,1.97,1.91,1.93,1715121
10/27/20,1.96,1.99,1.96,1.975,820078
10/26/20,2.00,2.01,1.92,1.97,1791377
10/23/20,2.00,2.03,2.00,2.005,1111552
10/22/20,2.00,2.04,2.00,2.02,1579765
10/21/20,2.01,2.02,1.99,2.02,1154653
10/20/20,1.99,2.02,1.98,2.02,1960167
10/19/20,1.96,2.00,1.90,2.00,1933433
10/16/20,1.99,2.02,1.96,1.97,2851356
10/15/20,1.99,2.00,1.94,1.98,2631053
10/14/20,2.02,2.03,1.99,1.995,2194067
10/13/20,2.03,2.04,2.01,2.03,1251089
10/12/20,2.04,2.05,2.02,2.04,3132886
10/09/20,2.02,2.05,2.02,2.045,1449662
10/08/20,2.04,2.05,2.02,2.03,1545900
10/07/20,2.02,2.04,1.985,2.035,1216631
10/06/20,2.02,2.07,2.02,2.035,1502700
10/05/20,2.01,2.04,1.99,2.04,1765805
10/02/20,1.99,2.02,1.94,1.98,3990258
10/01/20,2.02,2.05,2.00,2.04,1303042
09/30/20,2.02,2.06,2.02,2.02,1263821
09/29/20,2.06,2.08,2.02,2.04,1331856
09/28/20,2.04,2.10,2.04,2.07,1590669
09/25/20,2.04,2.06,1.98,2.04,2163477
09/24/20,1.95,2.04,1.94,2.04,2648859
09/23/20,2.01,2.04,1.98,2.01,1704186
09/22/20,2.03,2.05,2.01,2.025,1046687
09/21/20,2.03,2.07,2.00,2.00,1118037
09/18/20,1.99,2.06,1.98,2.04,1249723
09/17/20,2.03,2.04,1.96,1.99,5289089
09/16/20,2.06,2.09,2.01,2.04,3292661
09/15/20,2.10,2.10,2.04,2.055,1423576
09/14/20,2.07,2.11,2.05,2.09,1401792
09/11/20,2.11,2.13,2.06,2.08,1452996
09/10/20,2.13,2.16,2.11,2.11,1307214
09/09/20,2.13,2.19,2.11,2.13,1189568
09/08/20,2.18,2.22,2.13,2.14,1945785
09/04/20,2.18,2.22,2.15,2.22,2441694
09/03/20,2.19,2.20,2.16,2.19,2809481
09/02/20,2.22,2.225,2.19,2.195,2401637
09/01/20,2.25,2.305,2.20,2.22,3502729
08/31/20,2.23,2.32,2.21,2.25,3991380
08/28/20,2.20,2.24,2.17,2.22,1687921
08/27/20,2.21,2.22,2.17,2.21,1727752
08/26/20,2.23,2.24,2.19,2.21,1234103
08/25/20,2.22,2.23,2.18,2.22,1922899
08/24/20,2.18,2.25,2.18,2.215,1684305
08/21/20,2.21,2.23,2.15,2.18,2160933
08/20/20,2.25,2.27,2.20,2.22,2231028
08/19/20,2.27,2.30,2.23,2.27,2021963
08/18/20,2.28,2.34,2.23,2.28,3421007
08/17/20,2.14,2.40,2.13,2.28,6990046
08/14/20,2.13,2.18,2.11,2.17,2378958
08/13/20,2.10,2.15,2.09,2.15,2628889
08/12/20,2.07,2.14,2.07,2.11,4327886
08/11/20,2.10,2.13,2.07,2.09,2699071
08/10/20,2.12,2.13,2.09,2.12,2499691
08/07/20,2.09,2.14,2.05,2.12,3259751
08/06/20,2.05,2.13,2.03,2.10,4693337
08/05/20,1.96,2.05,1.94,2.045,4267800
08/04/20,1.89,1.98,1.87,1.95,4178436
08/03/20,1.97,1.98,1.90,1.93,3057198
07/31/20,1.96,1.995,1.95,1.97,1181626
07/30/20,2.03,2.05,1.95,1.95,2700659
07/29/20,1.94,2.03,1.92,2.02,2696821
07/28/20,1.96,1.98,1.95,1.955,1331364
07/27/20,1.97,2.00,1.96,1.97,1217372
07/24/20,2.00,2.01,1.95,2.00,2617541
07/23/20,2.00,2.02,1.96,2.01,5189438
07/22/20,2.02,2.065,2.00,2.035,4743646
07/21/20,2.09,2.11,2.07,2.09,1688058
07/20/20,2.09,2.11,2.08,2.085,1908078
07/17/20,2.11,2.11,2.08,2.10,1491936
07/16/20,2.11,2.12,2.09,2.11,1581993
07/15/20,2.12,2.13,2.10,2.11,1694904
07/14/20,2.10,2.13,2.10,2.12,1346677
