Date, Open, High, Low, Close, Volume
04/30/21,606.98,614.5999,599.88,600.38,5047752
04/29/21,616.00,617.46,602.86,612.99,4329912
04/28/21,614.58,621.29,608.6207,611.07,5235405
04/27/21,623.14,626.82,614.18,615.27,4114325
04/26/21,607.402,619.16,605.00,619.12,4944927
04/23/21,597.375,613.395,596.01,610.61,5694305
04/22/21,615.00,617.5427,591.34,594.01,6944657
04/21/21,604.75,614.50,604.09,614.42,5419426
04/20/21,612.93,619.88,598.52,606.85,8353326
04/19/21,621.4616,632.30,609.3201,614.47,10110450
04/16/21,642.124,646.63,634.61,636.50,8380189
04/15/21,626.50,648.566,625.26,645.49,14962020
04/14/21,625.00,628.8184,609.10,611.08,9637548
04/13/21,609.26,628.00,605.03,627.18,16905301
04/12/21,571.59,614.10,565.57,608.36,21733051
04/09/21,568.56,576.32,567.00,576.00,4879272
04/08/21,570.11,578.86,569.9577,572.68,6110373
04/07/21,555.23,569.7399,548.46,565.74,6282109
04/06/21,559.9871,562.165,550.9449,554.46,4793649
04/05/21,554.70,560.5585,549.32,559.50,6391785
04/01/21,542.89,554.80,540.45,552.47,7706865
03/31/21,520.62,538.82,519.30,533.93,7869438
03/30/21,513.678,519.01,508.20,514.87,5005062
03/29/21,512.81,522.50,508.00,517.93,6837997
03/26/21,502.18,514.25,494.94,513.57,9099224
03/25/21,499.98,508.59,490.88,501.41,7378614
03/24/21,526.05,526.365,505.47,505.72,6145963
03/23/21,530.17,533.78,520.85,522.83,5551152
03/22/21,516.51,535.78,516.27,527.45,7445077
03/19/21,510.00,516.86,504.50,513.83,7480174
03/18/21,525.46,527.36,508.6817,508.90,7354702
03/17/21,521.59,538.13,519.58,533.65,6096605
03/16/21,534.26,540.50,524.67,531.65,6803240
03/15/21,514.59,528.27,510.685,527.65,5563011
03/12/21,505.93,515.55,503.60,514.24,6099099
03/11/21,518.00,521.85,509.38,519.74,7497857
03/10/21,513.62,519.20,498.30,498.73,9609414
03/09/21,485.21,504.67,482.37,500.81,13045640
03/08/21,498.00,498.85,462.66,463.73,13577790
03/05/21,502.00,502.00,467.17,498.46,13570970
03/04/21,512.03,519.00,483.35,494.81,14333630
03/03/21,537.05,538.06,511.95,512.19,9439757
03/02/21,556.00,556.82,535.84,536.25,6602853
03/01/21,555.00,557.00,542.1299,553.67,8829575
02/26/21,550.10,554.18,534.44,548.58,12523260
02/25/21,561.817,574.99,528.65,532.30,20610900
02/24/21,564.91,580.27,550.24,579.96,11207980
02/23/21,563.01,569.55,535.58,565.68,9794483
02/22/21,590.99,605.33,573.00,574.23,8147139
02/19/21,600.98,607.0799,593.868,597.06,6793103
02/18/21,589.16,594.93,583.00,593.16,5852020
02/17/21,606.84,608.9407,591.20,596.24,6892467
02/16/21,602.57,614.90,598.00,613.21,8048988
02/12/21,602.00,611.6455,591.00,598.45,9368937
02/11/21,599.21,610.89,597.00,610.03,11270690
02/10/21,578.53,596.20,573.655,590.57,12133810
02/09/21,573.625,583.33,568.90,570.53,7189003
02/08/21,549.0886,578.95,549.0886,577.55,10865570
02/05/21,549.00,549.49,541.83,543.64,4228841
02/04/21,541.24,546.94,533.5145,546.57,5033462
02/03/21,545.44,557.27,540.66,541.22,6135232
02/02/21,535.95,542.88,531.4199,542.27,5510957
02/01/21,522.134,530.83,516.11,529.48,5430108
01/29/21,523.00,533.39,516.4602,519.59,6788801
01/28/21,519.85,533.59,518.42,522.04,5707899
01/27/21,529.20,529.31,511.75,516.71,9281821
01/26/21,543.218,545.79,535.50,537.41,4099510
01/25/21,551.27,553.14,529.4592,546.13,6277779
01/22/21,549.6035,553.6693,545.09,548.50,6170464
01/21/21,536.7442,559.9743,530.1201,554.70,8458490
01/20/21,524.47,537.22,522.27,534.63,6464272
01/19/21,520.65,523.7593,513.76,521.01,5654672
01/15/21,529.12,533.01,513.94,514.38,6944532
01/14/21,543.00,543.99,527.22,528.01,7078007
01/13/21,539.5986,544.9999,535.4001,541.27,5250711
01/12/21,550.10,550.18,533.80,539.39,7286943
01/11/21,536.75,558.44,534.50,544.86,12975720
01/08/21,534.50,536.8399,521.68,531.07,7313215
01/07/21,518.70,535.11,515.4601,533.76,11537040
01/06/21,528.90,529.80,503.44,504.58,14510580
01/05/21,523.99,537.74,523.48,536.19,8068998
01/04/21,524.17,546.0999,518.50,524.54,14016050
12/31/20,525.46,526.045,516.60,522.20,4810610
12/30/20,519.612,528.55,515.87,525.83,5634929
12/29/20,517.00,522.90,513.69,517.73,4259304
12/28/20,522.50,522.50,510.527,516.00,5314141
12/24/20,521.49,525.30,517.55,519.75,2447088
12/23/20,530.24,531.00,520.20,520.37,4478569
12/22/20,532.77,533.4899,522.1552,531.13,4657872
12/21/20,522.99,534.80,518.70,533.29,7558304
12/18/20,535.16,536.20,522.82,530.88,8551616
12/17/20,534.67,535.18,527.14,533.65,5784597
12/16/20,536.90,537.49,528.50,529.70,5577867
12/15/20,537.59,538.56,527.47,534.42,4837148
12/14/20,523.515,535.55,523.10,532.35,6753947
12/11/20,518.69,520.80,512.92,520.53,5231641
12/10/20,514.76,522.7499,513.975,518.89,5194118
12/09/20,532.02,536.56,514.7295,517.23,10032530
12/08/20,543.40,543.95,531.26,534.00,6798022
12/07/20,544.05,549.25,540.00,544.27,5581081
12/04/20,537.94,542.3999,535.5476,542.33,5056085
12/03/20,543.50,546.40,533.16,535.84,4988016
12/02/20,534.02,546.9377,529.37,541.78,7084030
12/01/20,539.69,541.15,529.13,535.60,7439282
11/30/20,530.60,536.50,518.8941,536.06,7173800
11/27/20,535.00,536.30,526.8218,530.45,4181880
11/25/20,521.30,530.7756,520.80,529.39,6497910
11/24/20,525.70,526.48,515.40,518.31,8662499
11/23/20,526.845,535.30,520.62,525.60,9033855
11/20/20,538.16,539.7799,522.60,523.51,8527245
11/19/20,528.51,539.50,524.00,537.61,14148360
11/18/20,538.61,544.23,527.40,537.15,12773130
11/17/20,542.10,543.85,532.1549,536.89,7800699
11/16/20,526.90,545.98,526.2401,540.61,10344370
11/13/20,545.0911,546.7499,522.37,531.88,8669058
11/12/20,539.157,550.64,532.64,538.27,9165875
11/11/20,522.15,537.395,517.93,536.72,10118590
11/10/20,544.26,544.26,505.13,510.80,16101680
11/09/20,582.10,587.66,544.43,545.23,14574450
11/06/20,564.39,583.55,555.80,582.48,9583732
11/05/20,566.50,573.56,559.64,566.40,7975708
11/04/20,535.57,553.10,533.475,551.77,10255730
11/03/20,508.34,524.20,504.11,520.78,6822527
11/02/20,506.31,513.4663,495.80,503.23,7491316
10/30/20,514.00,517.455,492.00,501.36,10434900
10/29/20,513.54,527.71,510.00,520.96,8002046
10/28/20,527.92,530.40,504.36,505.08,9412952
10/27/20,532.24,537.68,527.66,535.87,6262992
10/26/20,537.08,547.7117,521.54,525.65,8422358
10/23/20,538.00,543.73,531.65,543.61,5837107
10/22/20,540.90,544.47,529.27,534.44,7261986
10/21/20,545.00,551.66,539.1001,540.99,5489933
10/20/20,543.34,551.99,540.2801,545.82,5730301
10/19/20,556.115,559.3399,536.27,539.91,7451714
10/16/20,561.47,564.86,551.70,552.46,6065990
10/15/20,552.427,560.23,550.71,558.80,6680628
10/14/20,571.62,573.71,558.40,563.81,6916178
10/13/20,571.86,573.9399,560.745,569.93,8615078
10/12/20,559.58,573.88,556.50,569.04,10868600
10/09/20,550.68,552.97,546.43,550.51,8672273
10/08/20,563.00,563.38,550.32,553.55,9472522
10/07/20,559.99,564.77,554.54,558.56,10452130
10/06/20,553.20,565.68,546.60,549.46,19610500
10/05/20,529.44,545.77,528.9106,545.70,11995460
10/02/20,529.00,540.78,522.04,522.49,13812400
10/01/20,550.32,550.5095,538.4301,544.58,13125060
09/30/20,526.30,544.90,526.01,541.22,17229600
09/29/20,517.50,537.71,517.33,529.03,15575120
09/28/20,521.61,522.07,510.00,521.40,14345230
09/25/20,497.90,515.34,489.83,514.95,14700410
09/24/20,482.89,502.78,480.56,493.92,18281010
